Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Choice Juice Orange Grapefruit Prune Pineapple Apple Tomato	colspan cite Choice Juice Orange Grapefruit Prune Pineapple Apple Tomato	-1
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	One Egg	One Egg any style	3.45
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	One Egg Any Style	One Egg Any Style with ham bacon sausage	5.45
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Two Eggs	Two Eggs any style	4.00
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Two Eggs Any Style	Two Eggs Any Style with ham bacon sausage	6.00
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Plain Omelette	Plain Omelette	5.65
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Feta Cheese	Feta Cheese	8.60
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Cheese Omelette	Cheese Omelette american cottage	8.20
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Western Omelette	Western Omelette	8.20
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Spanish Omelette	Spanish Omelette	8.70
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Salami amp Eggs	Salami amp Eggs	8.70
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Steak amp Eggs	Steak amp Eggs	10.70
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Eggs amp Onions	Eggs amp Onions	7.50
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	All Above Served With Toast With Jelly Marmalade And Butter Add For Each Extra Item Added Chelettes Egg Whites Available Extra Charge Substitute Turkey Sausage Turkey Bacon Extra	colspan cite All Above Served With Toast With Jelly Marmalade And Butter Add For Each Extra Item Added Chelettes Egg Whites Available Extra Charge Substitute Turkey Sausage Turkey Bacon Extra	-1
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Cold Cereal	Cold Cereal with milk	3.95
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Cooked Cereal	Cooked Cereal	4.45
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	cereal with sliced banana add	cereal with sliced banana add	.75
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Orange Juice	Orange Juice	2.25
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Prune Grapefruit Tomato Apple Hawaiian Pineapple Juice	Prune Grapefruit Tomato Apple Hawaiian Pineapple Juice	2.25
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Sliced Banana	Sliced Banana with cream	2.95
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Yogurt	Yogurt	2.45
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Chilled Half Grapefruit	Chilled Half Grapefruit	2.50
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Fruit Salad	Fruit Salad	3.95
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Iced Melon	Iced Melon season	3.75
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Stewed Prunes	Stewed Prunes	2.95
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Baked Apple	Baked Apple	2.95
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Golden Brown Pancakes	Golden Brown Pancakes	4.45
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	with ham bacon sausage	with ham bacon sausage	6.45
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Silver Dollar Pancakes	Silver Dollar Pancakes	5.25
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Blueberry Waffle	Blueberry Waffle	7.00
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Chocolate Waffle	Chocolate Waffle	7.00
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Crisp Waffle	Crisp Waffle	7.00
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	with ham bacon sausage	with ham bacon sausage	9.00
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	French Toast	French Toast	5.00
